housenum,acre,acregroup,adj1998,adj2007,adj2011,bedgroup,bedrooms,bikescore,diff2014,distance,distgroup,garage_spaces,garagegroup,housenum,latitude,longitude,no_full_baths,no_half_baths,no_rooms,pctchange,price1998,price2007,price2011,price2014,sfgroup,squarefeet,streetno,streetname,zip,Full address,walkscore
1,0.28,> 1/4 acre,148.3626,233.8419,191.8211,3 beds,3,35,62.36645,2.4,Farther Away,2,yes,1,42.31533,-72.694,1,0,5,42.03652,101.5,203.5,181.1,210.729,<= 1500 sf,0.966,406,Acrebrook Drive,1062,406 Acrebrook Drive MA 1062,9
2,0.29,> 1/4 acre,135.2073,261.4203,206.9677,3 beds,3,44,68.96375,1.97,Farther Away,1,yes,2,42.29856,-72.6747,1,0,5,51.00596,92.5,227.5,195.4,204.171,<= 1500 sf,0.96,57,Autumn Dr,1062,57 Autumn Dr MA 1062,5
3,0.36,> 1/4 acre,256.5284,401.0359,347.9472,3 beds,3,66,82.13365,0.043371,Closer,2,yes,3,42.34379,-72.6802,2,1,7,32.01738,175.5,349,328.5,338.662,> 1500 sf,1.725,31,Bridge Road,1062,31 Bridge Road MA 1062,46
4,0.26,> 1/4 acre,231.6795,305.0861,257.4915,3 beds,3,61,44.57055,0.554735,Farther Away,1,yes,4,42.34446,-72.6722,1,1,6,19.23802,158.5,265.5,243.1,276.25,> 1500 sf,1.727,200,Bridge Road,1060,200 Bridge Road MA 1060,40
5,0.31,> 1/4 acre,271.8762,298.766,236.6253,4+ beds,4,53,-102.703,0.596591,Farther Away,0,no,5,42.34253,-72.6644,1,0,6,-37.7757,186,260,223.4,169.173,> 1500 sf,1.576,395,Bridge Road,1062,395 Bridge Road MA 1062,32
6,0.31,> 1/4 acre,192.9444,275.784,243.2982,3 beds,3,36,18.5426,1.88,Farther Away,1,yes,6,42.31874,-72.691,1,1,6,9.610333,132,240,229.7,211.487,<= 1500 sf,1.32,23,Brierwood Drive,1062,23 Brierwood Drive MA 1062,12
7,0.08,<= 1/4 acre,171.0189,303.937,297.953,3 beds,3,97,140.4371,0.444886,Closer,0,no,7,42.32311,-72.6335,1,0,6,82.11788,117,264.5,281.3,311.456,<= 1500 sf,1.202,18,Bright Avenue,1060,18 Bright Avenue MA 1060,82
8,0.11,<= 1/4 acre,213.4082,380.9267,378.7699,4+ beds,4,95,164.4488,0.444886,Closer,0,no,8,42.32299,-72.6336,1,1,9,77.05833,146,331.5,357.6,377.857,> 1500 sf,2.136,23,Bright Street,1060,23 Bright Street MA 1060,88
9,0.31,> 1/4 acre,427.5473,336.1118,260.2454,4+ beds,5,38,-199.866,1.93,Farther Away,0,no,9,42.31543,-72.6702,2,0,7,-46.7472,292.5,292.5,245.7,227.681,> 1500 sf,1.918,497,Burts Pit Rd,1062,497 Burts Pit Rd MA 1062,15
10,0.27,> 1/4 acre,163.7104,249.9293,212.7933,3 beds,3,30,60.6556,2.87303,Farther Away,0,no,10,42.31036,-72.6949,1,0,5,37.05055,112,217.5,200.9,224.366,<= 1500 sf,1.008,1086,Burts Pit Rd,1062,1086 Burts Pit Rd MA 1062,9
11,0.27,> 1/4 acre,177.5966,271.7622,215.9709,3 beds,3,46,41.18845,0.756629,Farther Away,0,no,11,42.34567,-72.6687,2,0,5,23.19215,121.5,236.5,203.9,218.785,<= 1500 sf,1.296,14,Carolyn Street,1062,14 Carolyn Street MA 1062,35
12,0.51,> 1/4 acre,200.9838,309.1079,277.2986,3 beds,3,38,68.63625,1.41,Farther Away,2,yes,12,42.31905,-72.6649,1,0,7,34.15015,137.5,269,261.8,269.62,<= 1500 sf,1.432,21,Clement St,1062,21 Clement St MA 1062,20
13,0.23,<= 1/4 acre,238.2571,471.131,434.4838,4+ beds,4,79,209.5849,1.421553,Farther Away,0,no,13,42.31061,-72.6332,2,0,8,87.96586,163,410,410.2,447.842,> 1500 sf,2.04,46,Columbus Ave,1060,46 Columbus Ave MA 1060,68
14,0.11,<= 1/4 acre,263.8369,448.7236,394.6579,3 beds,3,85,122.6092,0.24678,Closer,0,no,14,42.32616,-72.6399,1,1,6,46.47158,180.5,390.5,372.6,386.446,> 1500 sf,1.604,156,Crescent Street,1060,156 Crescent Street MA 1060,65
15,0.15,<= 1/4 acre,331.8059,564.2081,450.6896,4+ beds,4,74,196.3081,0.396023,Closer,0,no,15,42.3257,-72.6407,2,0,9,59.16354,227,491,425.5,528.114,> 1500 sf,2.278,176,Crescent Street,1060,176 Crescent Street MA 1060,68
16,0.23,<= 1/4 acre,167.3647,256.8239,215.3354,3 beds,3,36,53.85535,1.567235,Farther Away,0,no,16,42.32094,-72.6795,1,0,6,32.17845,114.5,223.5,203.3,221.22,<= 1500 sf,1.208,15,Crestview Dr,1062,15 Crestview Dr MA 1062,20
17,0.23,<= 1/4 acre,217.0625,321.748,310.9811,4+ beds,5,37,103.1436,1.676705,Farther Away,0,no,17,42.31967,-72.6786,2,0,7,47.51791,148.5,280,293.6,320.206,> 1500 sf,1.744,64,Crestview Dr,1062,64 Crestview Dr MA 1062,17
18,0.23,<= 1/4 acre,154.9402,238.4383,201.6717,3 beds,3,36,24.5468,1.598674,Farther Away,0,no,18,42.32053,-72.6792,1,0,5,15.84276,106,207.5,190.4,179.487,<= 1500 sf,1.008,31,Crestview Drive,1062,31 Crestview Drive MA 1062,17
19,0.31,<= 1/4 acre,225.8327,337.8354,250.3949,4+ beds,4,79,17.80635,0.10303,Closer,0,no,19,42.30813,-72.646,1,1,8,7.884755,154.5,294,236.4,243.639,> 1500 sf,1.922,184,Earle St,1060,184 Earle St MA 1060,49
20,0.07,<= 1/4 acre,204.638,318.8753,328.6698,4+ beds,4,94,121.028,0.3375,Closer,0,no,20,42.31159,-72.635,2,0,8,59.14249,140,277.5,310.3,325.666,> 1500 sf,2.1,1,Edgewood Terrace,1060,1 Edgewood Terrace MA 1060,80
21,0.23,<= 1/4 acre,189.2902,280.3804,280.5821,4+ beds,4,54,93.47485,1,Farther Away,1,yes,21,42.32391,-72.6566,2,0,7,49.38178,129.5,244,264.9,282.765,> 1500 sf,1.664,139,Federal Street,1062,139 Federal Street MA 1062,29
22,0.17,<= 1/4 acre,148.3626,243.6092,225.7155,1-2 beds,2,70,50.32345,0.042045,Closer,1,yes,22,42.3431,-72.6792,1,0,5,33.91924,101.5,212,213.1,198.686,<= 1500 sf,0.892,111,Fern St,1062,111 Fern St MA 1062,45
23,0.33,> 1/4 acre,127.1679,218.329,181.335,3 beds,3,29,41.5931,2.15,Farther Away,0,no,23,42.30651,-72.6748,1,0,5,32.70723,87,190,171.2,168.761,<= 1500 sf,1.01,731,Florence Rd,1062,731 Florence Rd MA 1062,3
24,0.33,> 1/4 acre,160.787,239.0128,205.5907,3 beds,3,32,40.084,2.621402,Farther Away,0,no,24,42.31192,-72.6966,1,1,6,24.92988,110,208,194.1,200.871,<= 1500 sf,1.248,41,Forest Glen Dr,1062,41 Forest Glen Dr MA 1062,11
25,0.31,> 1/4 acre,165.903,268.8894,236.2016,3 beds,3,33,71.30305,2.579735,Farther Away,1,yes,25,42.31296,-72.6965,2,0,6,42.97877,113.5,234,223,237.206,<= 1500 sf,1.3,77,Forest Glen Dr.,1062,77 Forest Glen Dr. MA 1062,9
26,0.34,> 1/4 acre,154.2094,247.0565,212.4755,3 beds,3,31,51.56065,2.7,Farther Away,1,yes,26,42.31077,-72.6967,1,0,5,33.43549,105.5,215,200.6,205.77,<= 1500 sf,1.04,11,Forest Glen Drive,1062,11 Forest Glen Drive MA 1062,9
